WKT,WKT,WEBSITE,ADDRESS,DISTRICT,NAME,TYPE,PHONE,ZIP,CITY,DATA_SRC,UPDATE_DAT
"POINT (6305123.54006042 1813996.89996576)",POINT (6305123.54006042 1813996.89996576),https://www.chulavistaca.gov/departments/library,365 F Street,Chula Vista,Civic Center Branch,Public,(619) 691-5069,"91910","Chula Vista, CA",Chula Vista,2023/07/25
"POINT (6309570.94007084 1799657.16001117)",POINT (6309570.94007084 1799657.16001117),https://www.chulavistaca.gov/departments/library,389 Orange Avenue,Chula Vista,South Chula Vista Branch,Public,(619) 585-5755,"91911","Chula Vista, CA",Chula Vista,2023/07/25
"POINT (6276278.13004175 1832521.58989924)",POINT (6276278.13004175 1832521.58989924),https://coronadolibrary.org/,640 Orange Avenue,Coronado,Coronado Public,Public,(619) 522-7390,"92118","Coronado, CA",City of Coronado website,2023/07/25
"POINT (6307722.260097 1988665.47993574)",POINT (6307722.260097 1988665.47993574),https://www.escondido.org/library,239 South Kalmia Street,Escondido,Escondido Public,Public,(760) 839-4683,"92025","Escondido, CA",City of Escondido,2020/03/05
"POINT (6298815.06584613 1824885.62165569)",POINT (6298815.06584613 1824885.62165569),https://www.nationalcityca.gov/government/library,1243 National City Blvd,National City,National City Public,Public,(619) 336-4241,"91950","National City, CA",National City Website,2023/07/25
"POINT (6215884.47002161 2017251.2300213)",POINT (6215884.47002161 2017251.2300213),https://www.ci.oceanside.ca.us/gov/lib/,330 North Coast Highway,Oceanside,Oceanside Civic Center Library,Public,(760) 435-5600,"92054","Oceanside, CA",City of Oceanside website,2020/03/24
"POINT (6231910.98015629 2027582.85112324)",POINT (6231910.98015629 2027582.85112324),https://www.ci.oceanside.ca.us/gov/lib/,3861 B Mission Avenue,Oceanside,Mission Branch,Public,(760) 435-5600,"92054","Oceanside, CA",City of Oceanside website,2023/07/25
"POINT (6277526.44005711 1880279.37991646)",POINT (6277526.44005711 1880279.37991646),http://www.sandiego.gov/public-library/,4255 Mt. Abernathy Avenue,San Diego Public (City),Balboa,Public,(858) 573-1390,"92117","San Diego, CA",City of San Diego,2023/07/25
"POINT (6299409.65006259 1834764.13008066)",POINT (6299409.65006259 1834764.13008066),http://www.sandiego.gov/public-library/,721 San Pasqual St,San Diego Public (City),Mountain View/Beckwourth,Public,(619) 527-3404,"92113","San Diego, CA",City of San Diego,2023/07/25
"POINT (6306154.51994291 1869348.58989553)",POINT (6306154.51994291 1869348.58989553),http://www.sandiego.gov/public-library/,5188 Zion Street,San Diego Public (City),Benjamin,Public,(619) 533-3970,"92120","San Diego, CA",City of San Diego,2023/07/25
"POINT (6309033.3600502 1937968.65992033)",POINT (6309033.3600502 1937968.65992033),http://www.sandiego.gov/public-library/,12095 World Trade Dr.,San Diego Public (City),Carmel Mountain Ranch,Public,(858) 538-8181,"92128","San Diego, CA",City of San Diego,2023/07/25
"POINT (6260871.60000193 1927670.92006348)",POINT (6260871.60000193 1927670.92006348),http://www.sandiego.gov/public-library/,3919 Townsgate Drive,San Diego Public (City),Carmel Valley,Public,(858) 552-1668,"92130","San Diego, CA",City of San Diego,2023/07/25
"POINT (6271559.51998861 1869851.11008041)",POINT (6271559.51998861 1869851.11008041),http://www.sandiego.gov/public-library/,2920 Burgener Boulevard,San Diego Public (City),Clairemont,Public,(858) 581-9935,"92110","San Diego, CA",City of San Diego,2023/07/25
"POINT (6298261.49006027 1858469.72000918)",POINT (6298261.49006027 1858469.72000918),http://www.sandiego.gov/public-library/,4121 Adams Avenue,San Diego Public (City),Kensington - Normal Heights,Public,(619) 533-3974,"92116","San Diego, CA",City of San Diego,2023/07/25
"POINT (6246516.72005104 1887207.64994182)",POINT (6246516.72005104 1887207.64994182),http://www.sandiego.gov/public-library/,7555 Draper Ave,San Diego Public (City),La Jolla/Riford,Public,(858) 552-1657,"92037","La Jolla, CA",City of San Diego,2023/07/25
"POINT (6278893.02006213 1866019.46000648)",POINT (6278893.02006213 1866019.46000648),http://www.sandiego.gov/public-library/,2160 Ulric Street,San Diego Public (City),Linda Vista,Public,(858) 573-1399,"92111","San Diego, CA",City of San Diego,2023/07/25
"POINT (6289851.01786864 1835667.90998472)",POINT (6289851.01786864 1835667.90998472),http://www.sandiego.gov/public-library/,567 South 28th Street,San Diego Public (City),Logan Heights,Public,(619) 533-3968,"92113","San Diego, CA",City of San Diego,2023/07/25
"POINT (6305110.12002732 1839427.29994699)",POINT (6305110.12002732 1839427.29994699),http://www.sandiego.gov/public-library/,5148 Market Street,San Diego Public (City),Valencia Park /Malcolm X,Public,(619) 527-3405,"92114","San Diego, CA",City of San Diego,2023/07/25
"POINT (6287704.21009153 1913987.55989973)",POINT (6287704.21009153 1913987.55989973),http://www.sandiego.gov/public-library/,8405 New Salem St,San Diego Public (City),Mira Mesa,Public,(858) 538-8165,"92126","San Diego, CA",City of San Diego,2023/07/25
"POINT (6278203.01003441 1853774.42007442)",POINT (6278203.01003441 1853774.42007442),http://www.sandiego.gov/public-library/,215 West Washington St,San Diego Public (City),Mission Hills-Hillcrest/Knox,Public,(619) 692-4910,"92103","San Diego, CA",City of San Diego,2023/07/25
"POINT (6267851.63007979 1882505.78992254)",POINT (6267851.63007979 1882505.78992254),http://www.sandiego.gov/public-library/,4616 Clairemont Drive,San Diego Public (City),North Clairemont,Public,(858) 581-9931,"92117","San Diego, CA",City of San Diego,2023/07/25
"POINT (6292056.01991113 1852780.52997671)",POINT (6292056.01991113 1852780.52997671),http://www.sandiego.gov/public-library/,3795 31st Street,San Diego Public (City),North Park,Public,(619) 533-3972,"92104","San Diego, CA",City of San Diego,2023/07/25
"POINT (6306419.71008614 1848308.73009115)",POINT (6306419.71008614 1848308.73009115),http://www.sandiego.gov/public-library/,2802 54th Street,San Diego Public (City),Oak Park,Public,(619) 527-3406,"92105","San Diego, CA",City of San Diego,2023/07/25
"POINT (6255028.97994432 1852475.33006383)",POINT (6255028.97994432 1852475.33006383),http://www.sandiego.gov/public-library/,4801 Santa Monica Avenue,San Diego Public (City),Ocean Beach,Public,(619) 531-1532,"92107","San Diego, CA",City of San Diego,2023/07/25
"POINT (6309687.19006361 1790561.67007874)",POINT (6309687.19006361 1790561.67007874),http://www.sandiego.gov/public-library/,3003 Coronado Avenue,San Diego Public (City),Otay Mesa/Nestor,Public,(619) 424-0474,"92154","San Diego, CA",City of San Diego,2023/07/25
"POINT (6312010.31004325 1825489.70007807)",POINT (6312010.31004325 1825489.70007807),http://www.sandiego.gov/public-library/,5922 Rancho Hills Drive,San Diego Public (City),Paradise Hills,Public,(619) 527-3461,"92139","San Diego, CA",City of San Diego,2023/07/25
"POINT (6260523.32998706 1850438.58997956)",POINT (6260523.32998706 1850438.58997956),http://www.sandiego.gov/public-library/,3701 Voltaire Street,San Diego Public (City),Point Loma/Hervey,Public,(619) 531-1539,"92107","San Diego, CA",City of San Diego,2023/07/25
"POINT (6308824.22005674 1953700.32989946)",POINT (6308824.22005674 1953700.32989946),http://www.sandiego.gov/public-library/,17110 Bernardo Center Drive,San Diego Public (City),Rancho Bernardo,Public,(858) 538-8163,"92128","San Diego, CA",City of San Diego,2023/07/25
"POINT (6294211.89994706 1929459.31995538)",POINT (6294211.89994706 1929459.31995538),http://www.sandiego.gov/public-library/,13330 Salmon River Road,San Diego Public (City),Rancho Penasquitos,Public,(858) 538-8159,"92129","San Diego, CA",City of San Diego,2023/07/25
"POINT (6318836.56001897 1872495.03002842)",POINT (6318836.56001897 1872495.03002842),http://www.sandiego.gov/public-library/,7265 Jackson Dr,San Diego Public (City),San Carlos,Public,(619) 527-3430,"92119","San Diego, CA",City of San Diego,2023/07/25
"POINT (6317283.04743305 1783663.36050388)",POINT (6317283.04743305 1783663.36050388),http://www.sandiego.gov/public-library/,4235 Beyer Blvd,San Diego Public (City),San Ysidro,Public,(619) 424-0475,"92173","San Diego, CA",City of San Diego,2023/07/25
"POINT (6299216.22994584 1912423.02998173)",POINT (6299216.22994584 1912423.02998173),http://www.sandiego.gov/public-library/,10301 Scripps Lake Drive,San Diego Public (City),Scripps Ranch,Public,(858) 538-8158,"92131","San Diego, CA",City of San Diego,2023/07/25
"POINT (6290091.04504691 1875414.67692287)",POINT (6290091.04504691 1875414.67692287),http://www.sandiego.gov/public-library/,9005 Aero Dr,San Diego Public (City),Serra Mesa-Kearny Mesa,Public,(858) 573-1396,"92123","San Diego, CA",City of San Diego,2023/07/25
"POINT (6322456.14191538 1834344.4688983)",POINT (6322456.14191538 1834344.4688983),http://www.sandiego.gov/public-library/,7900 Paradise Valley Rd,San Diego Public (City),Skyline Hills,Public,(619) 527-3485,"92139","San Diego, CA",City of San Diego,2023/07/25
"POINT (6254283.16008782 1870181.58000003)",POINT (6254283.16008782 1870181.58000003),http://www.sandiego.gov/public-library/,4275 Cass St,San Diego Public (City),Pacific Beach/Taylor,Public,(858) 581-9934,"92109","San Diego, CA",City of San Diego,2023/07/25
"POINT (6301133.9199868 1879496.68006127)",POINT (6301133.9199868 1879496.68006127),http://www.sandiego.gov/public-library/,4985 La Cuenta Drive,San Diego Public (City),Tierrasanta,Public,(858) 573-1384,"92124","San Diego, CA",City of San Diego,2023/07/25
"POINT (6270232.99380265 1896795.06603123)",POINT (6270232.99380265 1896795.06603123),http://www.sandiego.gov/public-library/,8820 Judicial Dr,San Diego Public (City),North University Community,Public,(858) 581-9637,"92112","San Diego, CA",City of San Diego,2023/07/25
"POINT (6286226.09999803 1855246.82008462)",POINT (6286226.09999803 1855246.82008462),http://www.sandiego.gov/public-library/,4193 Park Boulevard,San Diego Public (City),University Heights,Public,(619) 692-4912,"92103","San Diego, CA",City of San Diego,2023/07/25
"POINT (6300203.11991715 1852779.69004071)",POINT (6300203.11991715 1852779.69004071),http://www.sandiego.gov/public-library/,3795 Fairmount Ave.,San Diego Public (City),City Heights/Weingart,Public,(619) 641-6100,"92105","San Diego, CA",City of San Diego,2023/07/25
"POINT (6292114.35005683 1864462.0299622)",POINT (6292114.35005683 1864462.0299622),http://www.sandiego.gov/public-library/,2123 Fenton Parkway,San Diego Public (City),Mission Valley,Public,(858) 573-5007,"92108","San Diego, CA",City of San Diego,2023/07/25
"POINT (6313904.4282704 1860703.99682398)",POINT (6313904.4282704 1860703.99682398),http://www.sandiego.gov/public-library/,6600 Montezuma Road,San Diego Public (City),College-Rolando,Public,(619) 533-3902,"92115","San Diego, CA",City of San Diego,2023/07/25
"POINT (6269628.40001898 1891828.76001562)",POINT (6269628.40001898 1891828.76001562),http://www.sandiego.gov/public-library/,4155 Governor Drive,San Diego Public (City),University Community,Public,(858) 552-1655,"92122","San Diego, CA",City of San Diego,2023/07/25
"POINT (6283522.48103595 1838854.31120105)",POINT (6283522.48103595 1838854.31120105),http://www.sandiego.gov/public-library/,330 Park Blvd,San Diego Public (City),San Diego Cental,Public,(619) 236-5800,"92101","San Diego, CA",City of San Diego,2020/03/05
"POINT (6249514.81009217 1983498.92993121)",POINT (6249514.81009217 1983498.92993121),https://library.carlsbadca.gov/our-library,1775 Dove Lane,Carlsbad,Carlsbad City Library,Public,(442)339-2049,"92011","Carlsbad, CA",Carlsbad,2023/07/25
"POINT (6227918.10992503 2005385.5099721)",POINT (6227918.10992503 2005385.5099721),https://library.carlsbadca.gov/our-library,1250 Carlsbad Village Dr,Carlsbad,Georgina Cole Library,Public,(442)339-2870,"92008","Carlsbad, CA",Carlsbad,2023/07/25
"POINT (6228535.87188542 2003336.44113819)",POINT (6228535.87188542 2003336.44113819),https://library.carlsbadca.gov/our-library,3368 Eureka Pl,Carlsbad,Library Learning Center,Public,(442)339-5500,"92008","Carlsbad, CA",Carlsbad,2023/07/25
"POINT (6340194.06225662 1807159.84894684)",POINT (6340194.06225662 1807159.84894684),https://www.chulavistaca.gov/departments/library,"2015 Birch Road, Suite 409",Chula Vista,Otay Ranch Branch,Public,(619) 397-5740,"91915","Chula Vista, CA",Chula Vista,2023/07/25
"POINT (6265162.690659 2048864.95115122)",POINT (6265162.690659 2048864.95115122),https://www.sdcl.org/,31505 Old River Rd.,San Diego County,24/7 Library To Go - Bonsall,Public,(858) 694-2415,"92003","Bonsall, CA",SDCL,2023/07/25
"POINT (6549346.85262035 1823610.94791859)",POINT (6549346.85262035 1823610.94791859),https://www.sdcl.org/,39923 Ribbonwood Road,San Diego County,24/7 Library To Go - Boulevard,Public,(858) 694-2415,"91905","Boulevard, CA",SDCL,2023/07/25
"POINT (6291255.28184503 1884174.49508885)",POINT (6291255.28184503 1884174.49508885),https://www.sdcl.org/,5500 Overland Avenue,San Diego County,24/7 Library To Go - County Operations Center,Public,(858) 694-2415,"92123","San Diego, CA",SDCL,2023/07/25
"POINT (6304282.17705947 1801460.14936639)",POINT (6304282.17705947 1801460.14936639),https://www.sdcl.org/,690 Oxford Street,San Diego County,24/7 Library To Go - South Region,Public,(858) 694-2415,"91911","Chula Vista, CA",SDCL,2023/07/25
"POINT (6296738.5422332 1952417.8681224)",POINT (6296738.5422332 1952417.8681224),https://www.sdcl.org/,10433 Reserve Drive,San Diego County,4S Ranch Branch,Public,(858) 673-4697,"92127","San Diego, CA",SDCL,2023/07/25
"POINT (6400064.60986257 1885116.1506556)",POINT (6400064.60986257 1885116.1506556),https://www.sdcl.org/,1752 Alpine Blvd.,San Diego County,Alpine Branch,Public,(619) 445-4221,"91901","Alpine, CA",SDCL,2023/07/25
"POINT (6320298.01807304 1821349.97443855)",POINT (6320298.01807304 1821349.97443855),https://www.sdcl.org/,4375 Bonita Rd.,San Diego County,Bonita-Sunnyside Branch,Public,(619) 475-4642,"91902","Bonita, CA",SDCL,2023/07/25
"POINT (6521990.75114448 2036290.7528867)",POINT (6521990.75114448 2036290.7528867),https://www.sdcl.org/,2580 Country Club Road,San Diego County,Borrego Springs Branch,Public,(760) 767-5761,"92004","Borrego Springs, CA",SDCL,2023/07/25
"POINT (6492268.99468291 1807053.98364824)",POINT (6492268.99468291 1807053.98364824),https://www.sdcl.org/,31356 Highway 94,San Diego County,Campo-Morena Village Branch,Public,(619) 478-5945,"91906","Campo, CA",SDCL,2023/07/25
"POINT (6245527.22008064 1953170.98010942)",POINT (6245527.22008064 1953170.98010942),https://www.sdcl.org/,2081 Newcastle Ave.,San Diego County,Cardiff-by-the-Sea Branch,Public,(760) 753-4027,"92007","Cardiff-by-the-Sea,",SDCL,2023/07/25
"POINT (6335436.44414827 1852439.96928963)",POINT (6335436.44414827 1852439.96928963),https://www.sdcl.org/,9805 Campo Rd. #180,San Diego County,Casa de Oro Branch,Public,(619) 463-3236,"91977","Spring Valley, CA",SDCL,2023/07/25
"POINT (6371919.22684638 1872873.3053914)",POINT (6371919.22684638 1872873.3053914),https://www.sdcl.org/,105 Juanita Lane,San Diego County,Crest Branch,Public,(619) 442-7083,"92021","El Cajon, CA",SDCL,2023/07/25
"POINT (6250528.48997329 1929773.56006542)",POINT (6250528.48997329 1929773.56006542),https://www.sdcl.org/,"1309 Camino Del Mar, Del Mar",San Diego County,Del Mar Branch,Public,(858) 755-1666,"92014","Del Mar, CA",SDCL,2023/07/25
"POINT (6449623.62590092 1892908.22926673)",POINT (6449623.62590092 1892908.22926673),https://www.sdcl.org/,9545 River Dr.,San Diego County,Descanso Branch,Public,(619) 445-5279,"91916","Descanso, CA",SDCL,2023/07/25
"POINT (6242735.24900021 1961820.0005722)",POINT (6242735.24900021 1961820.0005722),https://www.sdcl.org/,540 Cornish Drive,San Diego County,Encinitas Branch,Public,(760) 753-7376,"92024","Encinitas, CA 92024",SDCL,2023/07/25
"POINT (6255449.90990841 2083956.35011682)",POINT (6255449.90990841 2083956.35011682),https://www.sdcl.org/,124 S. Mission Rd.,San Diego County,Fallbrook Branch,Public,(760) 731-4650,"92028","Fallbrook, CA",SDCL,2023/07/25
"POINT (6331888.69600582 1872367.78967606)",POINT (6331888.69600582 1872367.78967606),https://www.sdcl.org/,576 Garfield Ave.,San Diego County,Fletcher Hills Branch,Public,(619) 466-1132,"92020","El Cajon, CA",SDCL,2023/07/25
"POINT (6294806.46013142 1790801.93740837)",POINT (6294806.46013142 1790801.93740837),https://www.sdcl.org/,810 Imperial Beach Blvd.,San Diego County,Imperial Beach Branch,Public,(619) 424-6981,"91932","Imperial Beach, CA",SDCL,2023/07/25
"POINT (6581026.50120589 1804394.2760247)",POINT (6581026.50120589 1804394.2760247),https://www.sdcl.org/,44605 Old Hwy. 80,San Diego County,Jacumba Branch,Public,(619) 766-4608,"91934","Jacumba, CA",SDCL,2023/07/25
"POINT (6455513.32014751 1971805.72009334)",POINT (6455513.32014751 1971805.72009334),https://www.sdcl.org/,1850 Highway 78,San Diego County,Julian Branch,Public,(760) 765-0370,"92036","Julian, CA",SDCL,2023/07/25
"POINT (6323954.87884444 1859447.74926071)",POINT (6323954.87884444 1859447.74926071),https://www.sdcl.org/,8074 Allison Avenue,San Diego County,La Mesa Branch,Public,(619) 469-2151,"91942","La Mesa, CA",SDCL,2023/07/25
"POINT (6354588.76729757 1892384.16489868)",POINT (6354588.76729757 1892384.16489868),https://www.sdcl.org/,12428  Woodside Ave,San Diego County,Lakeside Branch,Public,(619) 443-1811,"92040","Lakeside, CA",SDCL,2023/07/25
"POINT (6322030.42108162 1849441.44480468)",POINT (6322030.42108162 1849441.44480468),https://www.sdcl.org/,3001 School Ln.,San Diego County,Lemon Grove Branch,Public,(619) 463-9819,"91945","Lemon Grove, CA",SDCL,2023/07/25
"POINT (6308861.0350274 1823355.25548716)",POINT (6308861.0350274 1823355.25548716),https://www.sdcl.org/,2725 Granger Ave.,San Diego County,Lincoln Acres Branch,Public,(619) 475-9880,"91950","National City, CA",SDCL,2023/07/25
"POINT (6475240.42438497 1879575.45411582)",POINT (6475240.42438497 1879575.45411582),https://www.sdcl.org/,28804 Old Hwy. 80,San Diego County,Pine Valley Branch,Public,(619) 473-8022,"91962","Pine Valley, CA",SDCL,2023/07/25
"POINT (6449992.99423285 1802385.70065594)",POINT (6449992.99423285 1802385.70065594),https://www.sdcl.org/,24883 Potrero Valley Rd.,San Diego County,Potrero Branch,Public,(619) 478-5978,"91963","Potrero, CA",SDCL,2023/07/25
"POINT (6317584.68986015 1928546.22000743)",POINT (6317584.68986015 1928546.22000743),https://www.sdcl.org/,13137 Poway Rd,San Diego County,Poway Branch,Public,(858) 513-2900,"92064","Poway, CA",SDCL,2023/07/25
"POINT (6370717.56715031 1958731.9168224)",POINT (6370717.56715031 1958731.9168224),https://www.sdcl.org/,1275 Main Street,San Diego County,Ramona Branch,Public,(760) 788-5270,"92065","Ramona, CA",SDCL,2023/07/25
"POINT (6352879.65009253 1853071.72002396)",POINT (6352879.65009253 1853071.72002396),https://www.sdcl.org/,11555 Via Rancho San Diego,San Diego County,Rancho San Diego Branch,Public,(619) 660-5370,"92019","El Cajon, CA",SDCL,2023/07/25
"POINT (6268781.00988065 1952601.03015174)",POINT (6268781.00988065 1952601.03015174),https://www.sdcl.org/,17040 Avenida de Acacias,San Diego County,Rancho Santa Fe Branch,Public,(858) 756-2512,"92067","Rancho Santa Fe, CA",SDCL,2023/07/25
"POINT (6283012.793744 1996229.33559644)",POINT (6283012.793744 1996229.33559644),https://www.sdcl.org/,2 Civic Center Drive,San Diego County,San Marcos Branch,Public,(760) 891-3000,"92069","San Marcos, CA",SDCL,2023/07/25
"POINT (6332256.67986265 1887931.48987076)",POINT (6332256.67986265 1887931.48987076),https://www.sdcl.org/,9225 Carlton Hills Blvd. #17,San Diego County,Santee Branch,Public,(619) 448-1863,"92071","Santee, CA",SDCL,2023/07/25
"POINT (6251165.94010369 1943056.08992116)",POINT (6251165.94010369 1943056.08992116),https://www.sdcl.org/,157 Stevens Ave.,San Diego County,Solana Beach Branch Earl Warren Middle School,Public,(858) 755-1404,"92075","Solana Beach, CA",SDCL,2023/07/25
"POINT (6330243.85086887 1839790.66619146)",POINT (6330243.85086887 1839790.66619146),https://www.sdcl.org/,836 Kempton St.,San Diego County,Spring Valley Branch,Public,(619) 463-3006,"91977","Spring Valley, CA",SDCL,2023/07/25
"POINT (6324777.92610613 2032783.22938913)",POINT (6324777.92610613 2032783.22938913),https://www.sdcl.org/,29200 Cole Grade Rd.,San Diego County,Valley Center Branch,Public,(760) 749-1305,"92082","Valley Center, CA",SDCL,2023/07/25
"POINT (6261095.98460202 2018589.5858243)",POINT (6261095.98460202 2018589.5858243),https://www.sdcl.org/,700 Eucalyptus Ave.,San Diego County,Vista Branch,Public,(760) 643-510,"92084","Vista, CA",SDCL,2023/07/25
"POINT (6343237.37115215 1869090.04165907)",POINT (6343237.37115215 1869090.04165907),https://www.sdcl.org/,201 E. Douglas,San Diego County,El Cajon Branch,Public,(619) 588-3718,"92020","El Cajon, CA",SDCL,2023/07/25
"POINT (6216656.32370979 2017674.63376488)",POINT (6216656.32370979 2017674.63376488),https://www.ci.oceanside.ca.us/gov/lib/,804 Pier View Way #101,Oceanside,Oceanside READS Literacy Center,Public,(760) 435-5680,"92054","Oceanside, CA",City of Oceanside website,2023/07/25
"POINT (6244895.36971207 2016046.66967914)",POINT (6244895.36971207 2016046.66967914),https://www.oceansidelibrary.org/about-us/hours-and-locations,2855 Cedar Rd,Oceanside,John Landes Community Center Library,Public,(760)435-5642,"92056","Oceanside, CA",City of Oceanside website,2023/07/25
"POINT (6220581.05044316 2017033.10790354)",POINT (6220581.05044316 2017033.10790354),https://www.oceansidelibrary.org/about-us/hours-and-locations,455 Country Club Lane,Oceanside,Country Club Lane Senior Center Mini-Library,,,"92054","Oceanside, CA",City of Oceanside website,2023/07/25
"POINT (6235898.81603032 2020228.30136231)",POINT (6235898.81603032 2020228.30136231),https://www.oceansidelibrary.org/about-us/hours-and-locations,3302 Senior Center Dr,Oceanside,El Corazon Senior Center Mini-Library,,,"92056","Oceanside, CA",City of Oceanside website,2023/07/25
"POINT (6243137.91858369 2038571.41612008)",POINT (6243137.91858369 2038571.41612008),https://www.oceansidelibrary.org/about-us/hours-and-locations,5306 North River Rd,Oceanside,Melba Bishop Recreation Center Mini-Library,,,"92057","Oceanside, CA",City of Oceanside website,2023/07/25
"POINT (6251577.49449563 1966563.42752807)",POINT (6251577.49449563 1966563.42752807),https://www.sdcl.org/,501 N El Camino Real,San Diego County,24/7 Library Kiosk Encinitas,Public,(858) 694-2415,"92024","Encinitas, CA",SDCL,2023/07/25
